0.00 1.05 0.72 0.41 0.29 0.23 0.19 0.17 0.12 0.07 0.13 0.13 0.13 0.13 0.13 0.13 0.13 0.14 0.14 0.15 0.16 0.17 0.17 0.18 0.19 0.21 0.22 0.23 0.24 0.26 0.27 0.29 0.30 0.32 0.33 0.35 0.37 0.38 0.40 0.42 0.43 0.45 0.47 0.48 0.50 0.51 0.52 0.54 0.55 0.56 0.57 0.58 0.59 0.60 0.60 0.61 0.61 0.62 0.62 0.62 0.62 0.62 0.62 0.62 0.62 0.62 0.62 0.62 0.61 0.61 0.61 0.61 0.30 0.31 0.52 0.69 0.51 0.83 0.95 1.22 1.62 0.83 0.00 
0.00 1.12 0.70 0.40 0.27 0.22 0.19 0.17 0.11 0.07 0.13 0.13 0.13 0.13 0.13 0.13 0.13 0.14 0.14 0.15 0.16 0.16 0.17 0.18 0.19 0.20 0.22 0.23 0.24 0.26 0.27 0.29 0.30 0.32 0.33 0.35 0.37 0.38 0.40 0.42 0.43 0.45 0.46 0.48 0.49 0.51 0.52 0.53 0.55 0.56 0.57 0.58 0.59 0.59 0.60 0.61 0.61 0.61 0.62 0.62 0.62 0.62 0.62 0.62 0.62 0.62 0.62 0.61 0.61 0.61 0.61 0.61 0.30 0.30 0.47 0.69 0.47 0.82 0.89 1.16 1.53 0.82 0.00 
0.00 1.06 0.72 0.41 0.29 0.23 0.19 0.17 0.12 0.07 0.07 0.06 0.06 0.06 0.06 0.06 0.07 0.07 0.07 0.07 0.08 0.08 0.08 0.09 0.09 0.10 0.11 0.11 0.12 0.13 0.13 0.14 0.15 0.16 0.16 0.17 0.18 0.19 0.20 0.20 0.21 0.22 0.23 0.24 0.24 0.25 0.26 0.26 0.27 0.27 0.28 0.28 0.29 0.29 0.29 0.30 0.30 0.30 0.30 0.30 0.30 0.30 0.30 0.30 0.30 0.30 0.30 0.30 0.30 0.30 0.30 0.30 0.30 0.31 0.52 0.69 0.51 0.42 0.94 0.77 1.61 0.00 0.00 
0.00 0.84 0.80 0.43 0.30 0.24 0.16 0.17 0.15 0.09 0.07 0.07 0.06 0.06 0.06 0.07 0.07 0.07 0.07 0.07 0.08 0.08 0.09 0.09 0.10 0.10 0.11 0.11 0.12 0.13 0.13 0.14 0.15 0.16 0.17 0.17 0.18 0.19 0.20 0.21 0.22 0.22 0.23 0.24 0.25 0.25 0.26 0.27 0.27 0.28 0.28 0.29 0.29 0.30 0.30 0.30 0.30 0.31 0.31 0.31 0.31 0.31 0.31 0.31 0.31 0.31 0.31 0.30 0.30 0.30 0.30 0.30 0.30 0.40 0.65 0.34 0.63 0.53 0.61 0.93 1.39 0.00 0.00 
0.00 0.24 1.13 0.46 0.31 0.24 0.20 0.18 0.16 0.14 0.11 0.10 0.10 0.10 0.10 0.10 0.10 0.10 0.11 0.11 0.12 0.12 0.13 0.14 0.14 0.15 0.16 0.17 0.18 0.19 0.20 0.21 0.22 0.24 0.25 0.26 0.27 0.29 0.30 0.31 0.32 0.33 0.35 0.36 0.37 0.38 0.39 0.40 0.41 0.42 0.42 0.43 0.44 0.44 0.45 0.45 0.46 0.46 0.46 0.46 0.46 0.46 0.46 0.46 0.46 0.46 0.46 0.46 0.46 0.46 0.46 0.46 0.52 0.65 0.69 0.45 0.78 0.73 0.82 1.23 2.59 0.00 0.00 
0.00 0.00 1.07 0.55 0.34 0.26 0.21 0.17 0.11 0.15 0.15 0.14 0.14 0.14 0.14 0.14 0.15 0.15 0.16 0.17 0.17 0.18 0.19 0.20 0.21 0.23 0.24 0.25 0.27 0.28 0.30 0.32 0.33 0.35 0.37 0.39 0.40 0.42 0.44 0.46 0.48 0.50 0.51 0.53 0.55 0.56 0.58 0.59 0.60 0.62 0.63 0.64 0.65 0.66 0.66 0.67 0.68 0.68 0.68 0.69 0.69 0.69 0.69 0.69 0.69 0.68 0.68 0.68 0.68 0.68 0.68 0.68 0.68 0.33 0.45 0.73 0.54 0.54 0.69 1.32 1.64 0.00 0.00 
0.00 0.00 0.43 0.85 0.40 0.29 0.23 0.20 0.17 0.13 0.11 0.10 0.09 0.09 0.09 0.10 0.10 0.10 0.11 0.11 0.12 0.12 0.13 0.13 0.14 0.15 0.16 0.17 0.18 0.19 0.20 0.21 0.22 0.23 0.25 0.26 0.27 0.28 0.29 0.31 0.32 0.33 0.34 0.35 0.36 0.37 0.38 0.39 0.40 0.41 0.42 0.42 0.43 0.44 0.44 0.45 0.45 0.45 0.45 0.46 0.46 0.46 0.46 0.46 0.46 0.45 0.45 0.45 0.45 0.45 0.45 0.45 0.49 0.61 0.77 0.53 0.90 0.95 1.25 2.17 0.00 0.00 0.00 
0.00 0.00 0.00 0.78 0.56 0.34 0.24 0.22 0.16 0.11 0.17 0.16 0.16 0.16 0.16 0.16 0.17 0.17 0.18 0.19 0.20 0.21 0.22 0.23 0.24 0.26 0.27 0.29 0.31 0.32 0.34 0.36 0.38 0.40 0.42 0.44 0.46 0.48 0.50 0.52 0.54 0.56 0.58 0.60 0.62 0.64 0.66 0.67 0.69 0.70 0.72 0.73 0.74 0.75 0.76 0.76 0.77 0.77 0.78 0.78 0.78 0.78 0.78 0.78 0.78 0.78 0.78 0.78 0.77 0.77 0.77 0.77 0.39 0.50 0.69 0.51 0.93 1.10 1.25 0.88 0.00 0.00 0.00 
0.00 0.00 0.00 0.02 0.78 0.49 0.30 0.25 0.17 0.20 0.18 0.17 0.17 0.17 0.17 0.17 0.18 0.18 0.19 0.20 0.21 0.22 0.23 0.24 0.25 0.27 0.28 0.30 0.32 0.34 0.35 0.37 0.39 0.42 0.44 0.46 0.48 0.50 0.52 0.55 0.57 0.59 0.61 0.63 0.65 0.67 0.68 0.70 0.72 0.73 0.74 0.76 0.77 0.78 0.79 0.79 0.80 0.81 0.81 0.81 0.81 0.82 0.82 0.81 0.81 0.81 0.81 0.81 0.81 0.81 0.81 0.81 0.87 0.55 0.76 0.64 1.19 1.21 1.75 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.58 0.57 0.35 0.24 0.18 0.22 0.21 0.21 0.21 0.21 0.21 0.22 0.23 0.24 0.25 0.26 0.27 0.28 0.30 0.32 0.34 0.35 0.37 0.40 0.42 0.44 0.47 0.49 0.52 0.54 0.57 0.60 0.63 0.65 0.68 0.71 0.73 0.76 0.78 0.81 0.83 0.85 0.87 0.89 0.91 0.93 0.94 0.96 0.97 0.98 0.99 1.00 1.00 1.01 1.01 1.02 1.02 1.02 1.02 1.01 1.01 1.01 1.01 1.01 1.00 1.00 1.01 0.65 0.81 1.09 1.18 2.00 0.82 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.21 0.55 0.49 0.35 0.28 0.26 0.25 0.25 0.26 0.26 0.27 0.28 0.29 0.30 0.32 0.33 0.35 0.37 0.39 0.41 0.44 0.46 0.49 0.51 0.54 0.57 0.60 0.64 0.67 0.70 0.73 0.77 0.80 0.83 0.87 0.90 0.93 0.96 0.99 1.02 1.05 1.07 1.10 1.12 1.14 1.16 1.18 1.19 1.20 1.22 1.23 1.23 1.24 1.25 1.25 1.25 1.25 1.25 1.25 1.24 1.24 1.24 1.23 1.23 1.23 1.24 1.32 1.15 2.20 1.41 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.13 0.13 0.13 0.13 0.13 0.13 0.14 0.14 0.15 0.15 0.16 0.17 0.18 0.19 0.20 0.21 0.22 0.23 0.25 0.26 0.28 0.29 0.31 0.32 0.34 0.36 0.37 0.39 0.41 0.42 0.44 0.46 0.47 0.49 0.50 0.52 0.53 0.55 0.56 0.57 0.58 0.59 0.60 0.61 0.61 0.62 0.62 0.63 0.63 0.63 0.64 0.64 0.64 0.64 0.64 0.63 0.63 0.63 0.63 0.63 0.63 0.63 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
